Code,FPL_Name,Web_Name,Understat_ID,Understat_Name,FPL_ID_2024-25,Team_2024-25,FPL_ID_2023-24,Team_2023-24
103025,Riyad Mahrez,Mahrez,750,Riyad Mahrez,,,,
432714,James McAtee,McAtee,10126,James McAtee,357,Man City,360,Sheffield Utd
88248,Stefan Ortega Moreno,Ortega Moreno,8786,Stefan Ortega Moreno,358,Man City,361,Man City
244851,Cole Palmer,Palmer,8497,Cole Palmer,182,Chelsea,362,Chelsea
482769,Máximo Perrone,Perrone,11378,Máximo Perrone,,,,
155405,Kalvin Phillips,Phillips,8719,Kalvin Phillips,359,Man City,364,West Ham
220566,Rodrigo 'Rodri' Hernandez,Rodrigo,2496,Rodri,360,Man City,365,Man City
437468,Sergio Gómez,Sergio Gómez,6656,Sergio Gómez,,,,
164484,Zack Steffen,Steffen,7817,Zack Steffen,,,,
97299,John Stones,Stones,586,John Stones,362,Man City,368,Man City
58621,Kyle Walker,Walker,638,Kyle Walker,363,Man City,369,Man City
152590,Alex Telles,Alex Telles,1828,Alex Telles,,,,
493250,Amad Diallo,Amad,8127,Amad Diallo Traore,364,Man Utd,371,Man Utd
467169,Antony Matheus dos Santos,Antony,11094,Antony,365,Man Utd,372,Man Utd
141746,Bruno Borges Fernandes,B.Fernandes,1228,Bruno Fernandes,366,Man Utd,373,Man Utd
232937,Brandon Williams,B.Williams,8075,Brandon Williams,,,,
197365,Eric Bailly,Bailly,1739,Eric Bailly,,,,
61256,Carlos Henrique Casimiro,Casemiro,2248,Casemiro,368,Man Utd,376,Man Utd
216051,Diogo Dalot Teixeira,Dalot,7281,Diogo Dalot,369,Man Utd,377,Man Utd
449434,Anthony Elanga,Elanga,9524,Anthony Elanga,432,Nott'm Forest,378,Nott'm Forest
80607,Christian Eriksen,Eriksen,646,Christian Eriksen,370,Man Utd,379,Man Utd
101582,Frederico Rodrigues de Paula Santos,Fred,6817,Fred,,,,
493105,Alejandro Garnacho,Garnacho,10552,Alejandro Garnacho,372,Man Utd,382,Man Utd
21205,Tom Heaton,Heaton,1651,Tom Heaton,374,Man Utd,384,Man Utd
172649,Dean Henderson,Henderson,7702,Dean Henderson,201,Crystal Palace,385,Crystal Palace
184667,Victor Lindelöf,Lindelof,6080,Victor Lindelöf,376,Man Utd,386,Man Utd
95658,Harry Maguire,Maguire,1687,Harry Maguire,377,Man Utd,387,Man Utd
516895,Kobbie Mainoo,Mainoo,11174,Kobbie Mainoo,378,Man Utd,388,Man Utd
222690,Tyrell Malacia,Malacia,10803,Tyrell Malacia,379,Man Utd,389,Man Utd
148225,Anthony Martial,Martial,553,Anthony Martial,,,,
221820,Lisandro Martínez,Martinez,10802,Lisandro Martínez,380,Man Utd,391,Man Utd
195851,Scott McTominay,McTominay,5560,Scott McTominay,381,Man Utd,392,Man Utd
488404,Facundo Pellistri Rebollo,Pellistri,9324,Facundo Pellistri,384,Man Utd,394,Man Utd
90152,Raphaël Varane,R.Varane,2245,Raphael Varane,,,,
176297,Marcus Rashford,Rashford,556,Marcus Rashford,385,Man Utd,396,Man Utd
209243,Jadon Sancho,Sancho,6345,Jadon Sancho,386,Man Utd,397,Man Utd
106760,Luke Shaw,Shaw,1006,Luke Shaw,387,Man Utd,398,Man Utd
472464,Shola Shoretire,Shoretire,9359,Shola Shoretire,,,,
180184,Donny van de Beek,Van de Beek,8821,Donny van de Beek,,,,
214590,Aaron Wan-Bissaka,Wan-Bissaka,5584,Aaron Wan-Bissaka,388,Man Utd,401,Man Utd
